Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Trocheck,Vincent,C/RW,23,31,0," $3,750,000.00 ",77,20.5333333333333,No,Yes,,135
Stone,Mark,RW,22,32,0," $3,750,000.00 ",76,20.2666666666667,No,No,,136
Perron,David,LW/RW,18,28,1," $3,750,000.00 ",65,17.3333333333333,No,No,,137
Couturier,Sean,C,14,20,0," $3,750,000.00 ",48,12.8,No,No,,138
Bailey,Josh,RW/LW/C,13,43,0," $3,700,000.00 ",69,18.6486486486487,No,No,,139
Berglund,Patrik,C/LW,23,11,1," $3,700,000.00 ",58,15.6756756756757,No,Yes,,140
Hagelin,Carl,LW,6,16,0," $3,667,000.00 ",28,7.63566948459231,No,No,,141
Ennis,Tyler,LW/C/RW,5,8,0," $3,650,000.00 ",18,4.93150684931507,Yes,No,,142
Backlund,Mikael,C,22,31,0," $3,575,000.00 ",75,20.979020979021,No,No,,143
Kunitz,Chris,LW,9,20,0," $3,550,000.00 ",38,10.7042253521127,No,No,,144
Atkinson,Cam,RW,35,27,0," $3,500,000.00 ",97,27.7142857142857,No,No,,145
Staal,Eric,C,28,37,0," $3,500,000.00 ",93,26.5714285714286,No,No,,146
Lee,Anders,LW/C,34,18,0," $3,500,000.00 ",86,24.5714285714286,No,No,,147
Niederreiter,Nino,RW,25,32,0," $3,500,000.00 ",82,23.4285714285714,No,No,,148
Hanzal,Martin,C,20,19,0," $3,500,000.00 ",59,16.8571428571429,No,Yes,,149
Smith,Reilly,RW/C/LW,15,22,0," $3,500,000.00 ",52,14.8571428571429,No,No,,150
Ribeiro,Mike,C,4,21,0," $3,500,000.00 ",29,8.28571428571429,No,No,,151
Clutterbuck,Cal,RW,5,15,0," $3,500,000.00 ",25,7.14285714285714,No,No,,152
Desharnais,David,C,6,8,0," $3,500,000.00 ",20,5.71428571428571,No,No,,153
Martin,Matt,LW/RW,5,4,0," $3,500,000.00 ",14,4,No,No,,154
Kruger,Marcus,C,5,12,0," $3,475,000.00 ",22,6.33093525179856,No,No,,155
Kuznetsov,Evgeny,C/LW,19,40,0," $3,400,000.00 ",78,22.9411764705882,No,No,,156
Bjugstad,Nick,C,7,7,0," $3,350,000.00 ",21,6.26865671641791,Yes,No,,157
Ward,Joel,RW/C,10,19,0," $3,275,000.00 ",39,11.9083969465649,Yes,No,,158
